name;speicher;leistung;lat;long
Sulzemoos;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.290240;11.264530
Grosselfingen;SolarEdge;9.25;48.332050;8.886169
Garching bei München;SolarEdge;9.94;48.248829;11.651120
Leonberg;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.75;48.796043;9.009571
Lehrensteinfeld;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;49.122325;9.303816
Tübingen;SENEC Home V3 hybrid -5,0 kWh;5.25;48.522123;8.977744
Traitsching;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.140687;12.610872
Huglfing;SENEC Home V3 hybrid -5,0 kWh;5.25;47.756265;11.089701
Lam;SENEC Home V3 hybrid -7,5 kWh;7.5;49.193365;13.027278
Schöfweg;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.75;48.838747;13.203357
Rot am See;SENEC Home V3 hybrid -5,0 kWh;4.5;49.272030;9.976958
Pentling;SENEC Home V3 hybrid -5,0 kWh;6;48.962066;12.015964
Aalen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.823494;10.054621
Henfeld;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.125;49.496563;11.377556
Brackenheim;SENEC Home V3 hybrid -5,0 kWh;5.25;49.081733;9.023200
Regensburg;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9;49.021560;12.040302
Ebermannstadt;SolarEdge;6;49.783205;11.173375
Esslingen;SolarEdge;6;48.741158;9.301397
Schönaich;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.658523;9.046302
Asperg;SENEC Home V3 hybrid -5,0 kWh;5.25;48.906128;9.125371
Wernberg;SENEC Home V3 hybrid -5,0 kWh;4.125;49.539134;12.089357
Walddorfhäßlach;SENEC Home V3 hybrid Duo - 10,0 kW/h;15.75;48.589583;9.145532
Waldkraiburg;SENEC Home V3 hybrid -5,0 kWh;6;48.197539;12.399527
Phal;SENEC Home V3 hybrid -5,0 kWh;6;47.920013;11.143275
Unterföhring;SolarEdge;3.96;48.190738;11.644827
Ellwangen;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.964865;10.109457
Wolfschlug;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.75;48.654190;9.273023
Bisingen;SENEC Home V3 hybrid -2,5 kWh;3.75;48.310479;8.891679
Ulm;SENEC Home V3 hybrid -5,0 kWh;6;48.387568;9.872406
Eberstadt;SENEC Home V3 hybrid Duo - 10,0 kW/h;19.5;49.182336;9.313970
Stuttgart;SENEC Home V3 hybrid -2,5 kWh;3.75;48.779188;9.107176
Albstadt;SENEC Home V3 hybrid -5,0 kWh;6;48.237183;8.912027
Offenburg;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;48.474737;7.875023
Rainau;SENEC Home V3 Hybrid Duo - 7,5 kW/h;6.75;48.918549;10.123290
Erdmannhausen;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.952076;9.281992
Steinheim an der Murr;SolarEdge;13.5;48.972781;9.248119
Böhmenkirch;SMA Tripower;9.9;48.686968;9.887684
Herrenberg;SENEC Home V3 hybrid Duo - 10,0 kW/h;10.125;48.599728;8.850886
Leinfelden-Echterdingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;16.125;48.678268;9.109898
Laubach;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;50.535066;8.950640
Ingolstadt;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.125;48.753353;11.309612
Polling;SENEC Home V3 hybrid -2,5 kWh;3.75;47.811057;11.091453
Isen;SENEC Home V3 hybrid Duo - 10,0 kW/h;29.625;48.187658;12.024154
Ehningen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;15;48.656427;8.928681
Weichering;SENEC Home V3 hybrid Duo - 10,0 kW/h;11.47;48.712570;11.292118
Fickenhau;SENEC Home V3 hybrid -5,0 kWh;5.625;48.587869;9.341577
Wolfratshausen;SENEC Home V3 hybrid Duo - 5,0 kW/h;10.36;47.914078;11.408376
Aichtal;RCT POWER BATTERY DC 9.6;9.99;48.627847;9.184067
Büchenbach;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;49.264580;10.989346
Pfullingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.454299;9.198908
Hohenbrunn;SENEC Home V3 hybrid -5,0 kWh;5.625;48.050096;11.688081
Pähl;SENEC Home V3 hybrid -5,0 kWh;4.5;47.920013;11.143275
Ottenbach;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;48.731763;9.740828
Gärtringen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.5;48.638302;8.838804
Adelsheim;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;49.390276;9.256314
Vellberg;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;49.107375;9.827333
Bodelshausen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.398691;8.899152
Freudenberg;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.741306;9.288299
Schorndorf;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.797258;9.460171
Hattenhofen;SENEC Home V3 hybrid Duo - 10,0 kW/h;15;48.667494;9.535755
Kirchanschöring;SENEC Home V3 hybrid -2,5 kWh;4.5;47.948409;12.744931
Eichstätt;SENEC Home V3 hybrid -5,0 kWh;4.125;48.886397;11.062049
Bad Reichenhall;SENEC Home V3 hybrid -5,0 kWh;4.5;47.732717;12.730939
Straubenhardt;SENEC Home V3 hybrid Duo - 10,0 kW/h;12.75;48.846075;8.448567
Unterreich;SENEC Home V3 hybrid -5,0 kWh;4.5;48.816767;8.621613
Schwaikheim;SENEC Home V3 hybrid -10 kWh;9;48.875841;9.316862
Dorfen;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.276256;12.022347
Parkstetten;SENEC Home V3 hybrid -5,0 kWh;4.5;48.919731;12.541584
Karlsfeld;SMA Tirpower ;8.58;48.230059;11.446057
Obersulm;SENEC Home V3 hybrid -5,0 kWh;6;49.130463;9.355213
Burladingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;15;48.314294;9.053176
Böblingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.5;48.679301;8.883070
Höchstadt;SENEC Home V3 hybrid -2,5 kWh;5.36;49.715904;10.699325
Münsingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.378959;9.379516
Freilassing;SENEC Home V3 hybrid -5,0 kWh;6;47.843859;12.937153
Kusterdingen;Fenecon - 7,7 kW/h ;7.4;48.502752;9.078007
Amberg;SENEC Home V3 hybrid -5,0 kWh;3.75;49.454199;11.775553
Röttenbach;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;49.668255;10.886407
München;RCT POWER BATTERY DC 9.6;9.62;48.154570;11.261656
Schneitzlreuth;SENEC Home V3 hybrid -5,0 kWh;6.75;47.691952;12.711643
Satteldorf;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.182589;10.020351
Untergruppenbach;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.875;49.095344;9.241056
Meßstetten;RCT POWER BATTERY DC 7.6;11.1;48.170922;8.858009
Schorndorf am Ammersee;RCT POWER BATTERY DC 7.6;9;48.052904;11.073237
Fürstenstein;SENEC Home V3 hybrid Duo - 5,0 kW/h;6;48.714968;13.289745
Spiegelberg;SENEC Home V3 hybrid -10 kWh;6.75;49.046418;9.369814
Göppingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;18;48.715584;9.601763
Friedberg;SENEC Home V3 hybrid Duo - 2,5 kW/h;10.125;48.364358;10.936993
Pösing;SENEC Home V3 hybrid -5,0 kWh;5.25;49.233958;12.516469
Murr;SolarEdge;6.29;48.973878;9.212293
Waiblingen;SENEC Home V3 hybrid -10 kWh;9.62;48.859793;9.289446
