name;speicher;leistung;lat;long
Öhringen;SENEC Home V2.1 - 5.0 kWh;5.25;49.20671549999999;9.520057200000002
Wolferstadt;SENEC Home V2.1 - 7.5 kWh;7.125;48.90664719999999;10.7765397
Altenmünster;SENEC Home V2.1 - 5.0 kWh;7.5;48.4638933;10.5886399
Steinheim an der Murr;SENEC Home V2.1 - 5.0 kWh;3.75;48.9691889;9.276239700000001
Calw;SENEC Home V3 hybrid -5.0 kWh;4.5;48.7215745;8.7177385
Hartenstein;SENEC Home V2.1 - 5.0 kWh;4.5;49.5967;11.5249764
Weitingen;SENEC Home V2.1 - 5.0 kWh;6;48.45974529999999;8.7932588
Eningen;SENEC Home V2.1 - 5.0 kWh;6.75;48.4757988;9.2759206
Penzing;SENEC Home V2.1 - 2.5 kWh;5.625;48.0894467;10.9144103
Lauchheim;SENEC Home V2.1 - 5.0 kWh;6;48.8713499;10.2432861
Grafenau;SENEC Home V3 hybrid -5.0 kWh;6.75;48.8468995;13.4080212
Trebgast;SENEC Home V3 hybrid -5.0 kWh;6.75;50.06585150000001;11.5520426
Öhringen;SENEC Home V3 hybrid -7.5 kWh;6.375;49.20671549999999;9.520057200000002
Windsbach;SENEC Home V3 hybrid dou - 10 kWh;11.625;48.9516022;10.8937048
Mühlacker;SENEC Home V3 hybrid -5.0 kWh;5.25;48.9335965;8.8605125
Kohlberg;SENEC Home V2.1 - 2.5 kWh;6.75;49.6090498;12.0196638
Wüstenrot;SENEC Home V3 hybrid dou - 7.5 kWh;19.5;49.0805879;9.460584500000001
Wiesentthal;SENEC Home V2.1 - 7.5 kWh;7.5;49.811649;11.2477637
Wiernsheim;SENEC Home V3 hybrid -5.0 kWh;4.5;48.8865846;8.8777568
Geiselhöring;SENEC Home V3 hybrid -5.0 kWh;5.25;48.8290596;12.3939088
Trochtelfingen;SENEC Home V2.1 - 2.5 kWh;3;48.3149305;9.273895
Brackenheim;SENEC Home V3 hybrid -5.0 kWh;5.25;49.0785978;9.0871344
Sonnenbühl;SENEC Home V3 hybrid -2.5 kWh;3.75;48.3816954;9.1941993
Bernried;SENEC Home V2.1 - 10 kWh;19.5;48.918223;12.8832724
Ilshofen;SENEC Home V3 hybrid -5.0 kWh;5.25;49.1522704;9.9214447
Straubing;SENEC Home V3 hybrid -5.0 kWh;4.5;48.8777333;12.5801538
Neustetten;SENEC Home V3 hybrid -5.0 kWh;5.25;48.48212849999999;8.8828582
Satteldorf;SENEC Home V3 hybrid dou - 7.5 kWh;10.125;49.1785053;10.0891545
Kornwestheim;RCT POWER BATTERY DC 5.7;6.75;48.8629127;9.178473
